2026-05-10 20:46:45,856 | DEBUG    | asyncio | __init__:633 | Using proactor: IocpProactor
2026-05-10 20:47:14,263 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:14,264 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290339865858640 to InvokeWithLayerRequest (25498c506e0)
2026-05-10 20:47:14,264 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:14,265 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,266 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,266 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290339875558464 to MsgsAck (25498c50ad0)
2026-05-10 20:47:14,267 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:14,268 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,268 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,431 | DEBUG    | telethon.network.mtprotosender | _handle_container:663 | Handling container
2026-05-10 20:47:14,431 | DEBUG    | telethon.network.mtprotosender | _handle_new_session_created:831 | Handling new session created
2026-05-10 20:47:14,433 | DEBUG    | telethon.network.mtprotosender | _handle_ack:850 | Handling acknowledge for [7638290339865858640]
2026-05-10 20:47:14,433 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:14,456 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290339865858640
2026-05-10 20:47:14,457 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:14,457 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290340639940824 to GetUsersRequest (25498c50830)
2026-05-10 20:47:14,457 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 32 bytes for sending
2026-05-10 20:47:14,458 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,458 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,459 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290340646034804 to MsgsAck (25498be7d90)
2026-05-10 20:47:14,459 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 60 bytes for sending
2026-05-10 20:47:14,460 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,461 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,593 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290340639940824
2026-05-10 20:47:14,594 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:14,596 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290341192972748 to MsgsAck (254982d1a70)
2026-05-10 20:47:14,596 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:14,597 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,597 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,597 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290341198902692 to MsgsAck (254982d0fc0)
2026-05-10 20:47:14,597 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:14,598 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,599 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,599 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290341207657424 to GetStateRequest (25498c50980)
2026-05-10 20:47:14,599 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 20 bytes for sending
2026-05-10 20:47:14,600 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,600 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,786 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290341207657424
2026-05-10 20:47:14,786 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:14,787 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290341960017768 to MsgsAck (25498bd9fd0)
2026-05-10 20:47:14,788 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:14,789 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,789 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,789 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290341967135992 to MsgsAck (25498c12360)
2026-05-10 20:47:14,789 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:14,790 | ERROR    | __main__ | run_sherlock_deleter:106 | [+91 96435 13817] ❌ СЕССИЯ НЕ АВТОРИЗОВАНА/ЗАБАНЕНА
2026-05-10 20:47:14,791 | INFO     | telethon.network.mtprotosender | _disconnect:325 | Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-10 20:47:14,791 | DEBUG    | telethon.network.mtprotosender | _disconnect:328 | Closing current connection...
2026-05-10 20:47:14,791 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,792 | DEBUG    | telethon.network.mtprotosender | _disconnect:331 | Cancelling 0 pending message(s)...
2026-05-10 20:47:14,792 | INFO     | telethon.network.mtprotosender | _disconnect:345 | Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:14,796 | DEBUG    | __main__ | run_sherlock_deleter:131 | [+91 96435 13817] Соединение закрыто.
2026-05-10 20:47:14,797 | DEBUG    | __main__ | run_sherlock_deleter:97 | Инициализация сессии: +91 96471 12703
2026-05-10 20:47:14,798 | INFO     | __main__ | run_sherlock_deleter:102 | [+91 96471 12703] Подключение...
2026-05-10 20:47:14,799 | INFO     | telethon.network.mtprotosender | _connect:234 | Connecting to 149.154.167.51:443/TcpFull...
2026-05-10 20:47:14,799 | DEBUG    | telethon.network.mtprotosender | _try_connect:289 | Connection attempt 1...
2026-05-10 20:47:14,802 | DEBUG    | telethon.network.mtprotosender | _try_connect:291 | Connection success!
2026-05-10 20:47:14,802 | DEBUG    | telethon.network.mtprotosender | _connect:273 | Starting send loop
2026-05-10 20:47:14,802 | DEBUG    | telethon.network.mtprotosender | _connect:276 | Starting receive loop
2026-05-10 20:47:14,803 | INFO     | telethon.network.mtprotosender | _connect:285 | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:14,808 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,808 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290247553193844 to InvokeWithLayerRequest (25498c5d090)
2026-05-10 20:47:14,808 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:14,809 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:14,810 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:14,810 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:15,388 | DEBUG    | telethon.network.mtprotostate | update_time_offset:268 | Updated time offset (old offset 0, bad 7638290250169363420, good 7638290345650227201, new 22)
2026-05-10 20:47:15,389 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:756 | Handling bad salt for message 7638290247553193844
2026-05-10 20:47:15,393 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:761 | 1 message(s) will be resent
2026-05-10 20:47:15,394 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:15,395 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290344687110156 to InvokeWithLayerRequest (25498c5d090)
2026-05-10 20:47:15,397 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:15,400 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,400 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,401 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290344711464136 to MsgsAck (25498c127a0)
2026-05-10 20:47:15,402 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:15,405 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,406 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,495 | DEBUG    | telethon.network.mtprotosender | _handle_container:663 | Handling container
2026-05-10 20:47:15,495 | DEBUG    | telethon.network.mtprotosender | _handle_new_session_created:831 | Handling new session created
2026-05-10 20:47:15,497 | DEBUG    | telethon.network.mtprotosender | _handle_ack:850 | Handling acknowledge for [7638290344687110156]
2026-05-10 20:47:15,497 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:15,506 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290344687110156
2026-05-10 20:47:15,507 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:15,507 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290345134932728 to GetUsersRequest (25498c5d450)
2026-05-10 20:47:15,508 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 32 bytes for sending
2026-05-10 20:47:15,509 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,509 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,509 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290345142852992 to MsgsAck (25498c31650)
2026-05-10 20:47:15,510 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 60 bytes for sending
2026-05-10 20:47:15,511 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,511 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,662 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290345134932728
2026-05-10 20:47:15,663 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:15,664 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290345762140484 to MsgsAck (25498c61310)
2026-05-10 20:47:15,664 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:15,665 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,665 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,666 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290345768388956 to MsgsAck (25498c61130)
2026-05-10 20:47:15,666 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:15,667 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,667 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,668 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290345776887148 to GetStateRequest (25498c5d310)
2026-05-10 20:47:15,668 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 20 bytes for sending
2026-05-10 20:47:15,669 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,669 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,858 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290345776887148
2026-05-10 20:47:15,859 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:15,860 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290346546357364 to MsgsAck (25498c2fd90)
2026-05-10 20:47:15,860 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:15,861 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,861 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,862 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290346552185268 to MsgsAck (25498c64210)
2026-05-10 20:47:15,862 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:15,863 | ERROR    | __main__ | run_sherlock_deleter:106 | [+91 96471 12703] ❌ СЕССИЯ НЕ АВТОРИЗОВАНА/ЗАБАНЕНА
2026-05-10 20:47:15,863 | INFO     | telethon.network.mtprotosender | _disconnect:325 | Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-10 20:47:15,863 | DEBUG    | telethon.network.mtprotosender | _disconnect:328 | Closing current connection...
2026-05-10 20:47:15,864 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,864 | DEBUG    | telethon.network.mtprotosender | _disconnect:331 | Cancelling 0 pending message(s)...
2026-05-10 20:47:15,865 | INFO     | telethon.network.mtprotosender | _disconnect:345 | Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:15,869 | DEBUG    | __main__ | run_sherlock_deleter:131 | [+91 96471 12703] Соединение закрыто.
2026-05-10 20:47:15,869 | DEBUG    | __main__ | run_sherlock_deleter:97 | Инициализация сессии: +91 96507 36946
2026-05-10 20:47:15,871 | INFO     | __main__ | run_sherlock_deleter:102 | [+91 96507 36946] Подключение...
2026-05-10 20:47:15,873 | INFO     | telethon.network.mtprotosender | _connect:234 | Connecting to 149.154.167.51:443/TcpFull...
2026-05-10 20:47:15,874 | DEBUG    | telethon.network.mtprotosender | _try_connect:289 | Connection attempt 1...
2026-05-10 20:47:15,877 | DEBUG    | telethon.network.mtprotosender | _try_connect:291 | Connection success!
2026-05-10 20:47:15,877 | DEBUG    | telethon.network.mtprotosender | _connect:273 | Starting send loop
2026-05-10 20:47:15,878 | DEBUG    | telethon.network.mtprotosender | _connect:276 | Starting receive loop
2026-05-10 20:47:15,878 | INFO     | telethon.network.mtprotosender | _connect:285 | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:15,882 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,883 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290252146530548 to InvokeWithLayerRequest (25498c5e350)
2026-05-10 20:47:15,883 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:15,884 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:15,884 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:15,884 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:16,149 | DEBUG    | telethon.network.mtprotostate | update_time_offset:268 | Updated time offset (old offset 0, bad 7638290253506348652, good 7638290349214397441, new 22)
2026-05-10 20:47:16,149 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:756 | Handling bad salt for message 7638290252146530548
2026-05-10 20:47:16,151 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:761 | 1 message(s) will be resent
2026-05-10 20:47:16,151 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:16,152 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290348008478016 to InvokeWithLayerRequest (25498c5e350)
2026-05-10 20:47:16,153 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:16,154 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,154 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:16,155 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290348020041320 to MsgsAck (25498c40c80)
2026-05-10 20:47:16,155 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:16,156 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,156 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:16,243 | DEBUG    | telethon.network.mtprotosender | _handle_container:663 | Handling container
2026-05-10 20:47:16,244 | DEBUG    | telethon.network.mtprotosender | _handle_new_session_created:831 | Handling new session created
2026-05-10 20:47:16,245 | DEBUG    | telethon.network.mtprotosender | _handle_ack:850 | Handling acknowledge for [7638290348008478016]
2026-05-10 20:47:16,246 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:16,252 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290348008478016
2026-05-10 20:47:16,252 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:16,253 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290348412504048 to GetUsersRequest (25498c5e350)
2026-05-10 20:47:16,253 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 32 bytes for sending
2026-05-10 20:47:16,254 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,255 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:16,256 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290348422665448 to MsgsAck (25498626a50)
2026-05-10 20:47:16,258 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 60 bytes for sending
2026-05-10 20:47:16,259 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,260 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:16,349 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290348412504048
2026-05-10 20:47:16,350 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:16,351 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290348804564328 to MsgsAck (25498c58940)
2026-05-10 20:47:16,351 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:16,352 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,352 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:16,353 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290348811261984 to MsgsAck (25498c58e10)
2026-05-10 20:47:16,353 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:16,354 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,354 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:16,355 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290348820766300 to GetStateRequest (25498c5e710)
2026-05-10 20:47:16,355 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 20 bytes for sending
2026-05-10 20:47:16,356 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,356 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:16,452 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290348820766300
2026-05-10 20:47:16,452 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:16,454 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290349216106268 to MsgsAck (25498c38c30)
2026-05-10 20:47:16,454 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:16,455 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,455 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:16,456 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290349223741384 to MsgsAck (25498c38cd0)
2026-05-10 20:47:16,456 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:16,457 | ERROR    | __main__ | run_sherlock_deleter:106 | [+91 96507 36946] ❌ СЕССИЯ НЕ АВТОРИЗОВАНА/ЗАБАНЕНА
2026-05-10 20:47:16,457 | INFO     | telethon.network.mtprotosender | _disconnect:325 | Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-10 20:47:16,458 | DEBUG    | telethon.network.mtprotosender | _disconnect:328 | Closing current connection...
2026-05-10 20:47:16,458 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:16,458 | DEBUG    | telethon.network.mtprotosender | _disconnect:331 | Cancelling 0 pending message(s)...
